v1,cleaned_text,length,label
ham,hi spoke maneesha v wed like know satisfied experience reply toll free yes,13,0
ham,lifted hopes offer money need especially end month approaches hurts studying anyways gr weekend,14,0
ham,lol u trust,3,0
ham,ok gentleman treat dignity respect,5,0
ham,guys close,2,0
ham,going nothing greatbye,3,0
ham,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss,14,0
ham,haha awesome minute,3,0
spam,please call customer service representative freephone ampm guaranteed cash prize,10,1
ham,got xmas radio times get,5,0
ham,jus reached home go bathe first sis using net tell u finishes k,13,0
spam,unique enough find th august wwwareyouuniquecouk,6,1
ham,im sorry ive joined league people dont keep touch mean great deal friend times even great personal cost great week,20,0
ham,hi finally completed course,4,0
ham,stop however suggest stays someone able give ors every stool,10,0
ham,hope youve settled new school year wishin gr day,9,0
ham,gud mrng dear hav nice day,6,0
ham,u got persons story,4,0
ham,hamster dead hey tmr meet pm orchard mrt,8,0
ham,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx,13,0
ham,found enc ltgt,3,0
ham,sent ltgt bucks,3,0
ham,hello darlin ive finished college txt u finish u love kate xxx,12,0
ham,account refilled successfully inr ltdecimalgt keralacircle prepaid account balance rs ltdecimalgt transaction id kr ltgt,15,0
ham,goodmorning sleeping ga,3,0
ham,u call alter ok,4,0
ham,say like dat dun buy ericsson oso cannot oredi lar,10,0
ham,entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went,15,0
ham,aight yo dats straight dogg,5,0
ham,please give us connection today ltdecimalgt refund bill,8,0
ham,shoot big loads get ready,5,0
ham,whats bruv hope great break rewarding semester,7,0
ham,home always chat,3,0
ham,kkgoodstudy well,2,0
ham,yup noe leh,3,0
ham,sounds great home,3,0
ham,finally match heading towards draw prediction,6,0
ham,tired havent slept well past nights,6,0
ham,easy ahsen got selected means good,6,0
ham,take exam march,3,0
ham,yeah think use gt atm register sure theres anyway help let know sure ready,14,0
ham,ok prob take ur time,5,0
ham,os called ubandu run without installing hard diskyou use os copy important files system give repair shop,17,0
ham,sorry ill call later,4,0
ham,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh,19,0
spam,new mobiles must go txt nokia collect todayfrom wwwtcbiz optout gbpmtmsg,11,1
ham,would really appreciate call need someone talk,7,0
spam,u meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign e g horo aries,22,1
ham,hey company elama po mudyadhu,5,0
ham,life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning,19,0
ham,dear good morning,3,0
ham,get gandhipuram walk cross cut road right side ltgt street road turn first right,14,0
ham,dear going rubber place,4,0
ham,sorry battery died yeah im,5,0
ham,yeshere tv always available work place,6,0
spam,text meet someone sexy today u find date even flirt u join p reply name age eg sam msg recdthirtyeight pence,21,1
ham,printed oh ltgt come upstairs,5,0
ham,ill little closer like bus stop street,7,0
ham,youwhen wil reach,3,0
ham,new theory argument wins situation loses person dont argue ur friends kick amp say im always correct,17,0
spam,u secret admirer looking make contact ufind rreveal thinks ur specialcall,11,1
ham,tomarrow final hearing laptop case cant,6,0
ham,pleassssssseeeeee tel v avent done sportsx,6,0
ham,okay shining meant signing sounds better,6,0
ham,although told u dat im baig face watches really like e watch u gave cos fr u thanx everything dat uve done today im touched,25,0
ham,u dont remember old commercial,5,0
ham,late said website didnt dont slippers,6,0
ham,asked call ok,3,0
ham,kallis wont bat nd innings,5,0
ham,didnt work oh ok goodnight ill fix ready time wake dearly missed good night sleep,15,0
spam,congratulations ur awarded cd vouchers gift guaranteed free entry wkly draw txt music tncs wwwldewcomwinppmxage,15,1
ham,ranjith cal drpd deeraj deepak min hold,7,0
ham,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,27,0
ham,doinghow,1,0
ham,ups days also shipping company takes wks way usps takes week gets lag may bribe nipost get stuff,18,0
ham,im back lemme know youre ready,6,0
ham,dont necessarily expect done get back though im headin,9,0
ham,mmm yummy babe nice jolt suzy,6,0
ham,lover need,2,0
spam,tried contact reply offer video handset anytime networks mins unlimited text camcorder reply call,14,1
ham,im parked next mini coming today think,7,0
ham,yup,1,0
ham,anyway im going shopping cos sis done yet dun disturb u liao,12,0
ham,luton ring ur around h,5,0
spam,hey really horny want chat see naked text hot text charged pm unsubscribe text stop,15,1
ham,dint come us,3,0
ham,wana plan trip sometme,4,0
ham,sure yet still trying get hold,6,0
spam,ur ringtone service changed free credits go clubmobilescom choose content stop txt club stop pwk club po box mk wt,20,1
ham,evo download flash jealous,4,0
spam,ringtone club get uk singles chart mobile week choose top quality ringtone message free charge,15,1
ham,come mu sorting narcotics situation,5,0
ham,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay,18,0
spam,hmv bonus special pounds genuine hmv vouchers answer easy questions play send hmv infowwwpercentrealcom,14,1
ham,usf guess might well take car,6,0
ham,objection bf coming,3,0
ham,thanx,1,0
ham,tell rob mack gf theater,5,0
ham,awesome ill see bit,4,0
ham,sent type food like,4,0
ham,done handed celebrations full swing yet,6,0
ham,got called tool,3,0
ham,wen u miss someone,4,0
ham,ok asked money far,4,0
ham,okie,1,0
ham,yeah think usual guys still passed last night get ahold anybody let know ill throw,15,0
ham,k might come tonight class lets early,7,0
ham,ok,1,0
ham,hi baby im cruisin girl friend r u give call hour home thats alright fone fone love jenny xxx,19,0
ham,life means lot love life love people life world calls friends call world ge,14,0
ham,dearshall mail tonitebusy streetshall update tonitethings looking okvarunnathu edukkukayee raksha ollubut good one real sense,15,0
ham,hey told name gautham ah,5,0
ham,haf u found feel stupid da v cam working,9,0
ham,oops got bit,3,0
ham,much buzy,2,0
ham,accidentally deleted message resend please,5,0
spam,tmobile customer may claim free camera phone upgrade pay go sim card loyalty call offer ends thfebtcs apply,18,1
ham,unless situation go gurl would appropriate,6,0
ham,hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl,19,0
ham,cant pick phone right pls send message,7,0
ham,need coffee run tomocant believe time week already,8,0
ham,awesome remember last time got somebody high first time diesel v,11,0
ham,shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi,17,0
ham,oh way food fridge want go meal tonight,8,0
ham,womdarfull actor,2,0
spam,sms ac blind date u rodds aberdeen united kingdom check httpimg sms acwicmbcktzr blind dates send hide,17,1
ham,yup remb think book,4,0
ham,jos ask u wana meet,5,0
ham,lol yes friendship hanging thread cause u wont buy stuff,10,0
spam,themob check newest selection content games tones gossip babes sport keep mobile fit funky text wap,16,1
ham,garage keys arent bookshelf,4,0
ham,today accept dayu accept brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy,20,0
spam,think ur smart win week weekly quiz text play nowtcs winnersclub po box uz gbpweek,15,1
ham,says hell give call friends got money hes definitely buying end week,12,0
ham,hi way u day normal waythis real ur uniquei hope know u rest mylife hope u find wot lost,19,0
ham,made day great day,4,0
ham,kkadvance happy pongal,3,0
ham,hmmm guess go kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,19,0
ham,really dude friends im afraid,5,0
spam,december mobile mths entitled update latest colour camera mobile free call mobile update co free,15,1
ham,coffee cake guess,3,0
ham,merry christmas babe love ya kisses,6,0
ham,hey dont go watch x men lunch haha,8,0
ham,cud u tell ppl im gona b bit l cos buses hav gon past cos full im still waitin pete x,21,0
ham,would great well guild could meet bristol road somewhere get touch weekend plans take flight good week,17,0
ham,problem,1,0
ham,callsmessagesmissed calls,2,0
ham,hi dahow todays class,4,0
ham,id say thats good sign well know track record reading women,11,0
ham,cool text youre parked,4,0
ham,im reading text sent meant joke read light,8,0
ham,kkapo kgood movie,3,0
ham,maybe could get book tomo return immediately something,8,0
spam,call germany pence per minute call fixed line via access number prepayment direct access,14,1
ham,chance might evaporated soon violated privacy stealing phone number employers paperwork cool please contact report supervisor,16,0
spam,valentines day special win quiz take partner trip lifetime send go pmsg rcvd custcare,14,1
ham,tadaaaaa home babe still,4,0
ham,cool come havent wined dined,5,0
ham,sleepingand surfing,2,0
ham,sorry ill call later,4,0
ham,u calling right call hand phone,6,0
ham,ok thats great thanx lot,5,0
ham,take post come must texts happy reading one wiv hello caroline end favourite bless,14,0
ham,u hiding stranger,3,0
ham,interested like,2,0
ham,sister cleared two round birla soft yesterday,7,0
ham,gudnitetcpractice going,2,0
ham,dis yijue jus saw ur mail case huiming havent sent u num dis num,14,0
ham,one small prestige problem,4,0
spam,fancy shag dointerested sextextukcom txt xxuk suzy txts cost per msg tncs website x,14,1
ham,checking really miss seeing jeremiah great month,7,0
ham,nah cant help ive never iphone,6,0
ham,youre car hour half im going apeshit,7,0
ham,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault im basically good,18,0
ham,yo guys ever figure much need alcohol jay trying figure much safely spend weed,14,0
ham,ltgt ish minutes minutes ago wtf,6,0
ham,thank callingforgot say happy onam sirjii fine remembered met insurance personmeet qatar insha allahrakhesh ex tata aig joined tisscotayseer,19,0
spam,congratulations ur awarded cd vouchers gift guaranteed free entry wkly draw txt music tncs wwwldewcomwinppmxage,15,1
spam,ur cashbalance currently pounds maximize ur cashin send cash pmsg cc hgsuitelands rowwjhl,13,1
ham,im actor work work evening sleep late since im unemployed moment always sleep late youre unemployed every day saturday,19,0
ham,hello got st andrewsboy long way cold keep posted,9,0
ham,ha ha cool cool chikku chikkudb,6,0
ham,oh ok prob,3,0
ham,check audreys status right,4,0
ham,busy trying finish new year looking forward finally meeting,9,0
ham,good afternoon sunshine dawns day refreshed happy alive breathe air smile think love always,14,0
ham,well know z take care worries,6,0
spam,updatenow xmas offer latest motorola sonyericsson nokia free bluetooth double mins txt orange call mobileupd calloptoutfq,16,1
spam,discount code rp stop messages reply stop wwwregalportfoliocouk customer services,10,1
ham,wat uniform get,3,0
ham,cool text youre ready,4,0
ham,hello boytoy geeee miss already woke wish bed cuddling love,10,0
ham,spoil bed well,3,0
ham,im going bath msg next ltgt min,7,0
ham,cant keep talking people sure pay agree price pls tell want really buy much willing pay,16,0
spam,thanks ringtone order reference charged gbp per week unsubscribe anytime calling customer services,13,1
ham,say happen,2,0
ham,could seen mei didt recognise face,6,0
ham,well theres lot things happening lindsay new years sighs bars ptbo blue heron something going,15,0
ham,keep payasam rinu brings,4,0
ham,taught ranjith sir called sms like becaus hes verifying project prabu told today pa dont mistake,16,0
ham,guess thats worried must know theres way body repairs im quite sure shouldnt worry well take slow first tests guide ovulation relax nothing youve said reason worry ill keep followin,30,0
ham,yeah sure give couple minutes track wallet,7,0
ham,hey leave big deal take care,6,0
ham,hey late ah meet,4,0
spam,double mins txts months free bluetooth orange available sony nokia motorola phones call mobileupd calloptoutndx,15,1
ham,took mr owl licks,4,0
ham,customer place call,3,0
ham,mm time dont like fun,5,0
spam,mths half price orange line rental latest camera phones free phone mths call mobilesdirect free update orstoptxt,17,1
ham,yup lunch buffet u eat already,6,0
ham,huh late fr dinner,4,0
ham,hey sat going intro pilates kickboxing,6,0
ham,morning ok,2,0
ham,yes think office lap room think thats last days didnt shut,11,0
ham,pick bout ish time going,5,0
ham,performance award calculated every two monthnot current one month period,10,0
ham,actually sleeping still might u call back text gr rock sis send u text wen wake,16,0
ham,always putting business put pictures ass facebook one open people ive ever met would think picture room would hurt make feel violated,22,0
ham,good evening sir al salam wahleykkumsharing happy newsby grace god got offer tayseertissco joinedhope fineinshah allahmeet sometimerakheshvisitor india,18,0
ham,hmmmkbut want change field quickly dai wanna get system administrator network administrator,12,0
spam,free ringtone text first poly text get true tone help st free tones xpw end txt stop,17,1
ham,dear chechi talk,3,0
ham,hair cream shipped,3,0
ham,none thats happening til get though,6,0
ham,yep great loxahatchee xmas tree burning ltgt starts hour,9,0
ham,haha get used driving usf man know lot stoners,9,0
ham,well slightly disastrous class pm fav darlings hope day ok coffee wld good cant stay late tomorrow time place always,20,0
ham,hello good week fancy drink something later,7,0
ham,headin towards busetop,3,0
ham,messagesome text missing sendername missing number missing sentdate missing missing u lot thats everything missing sent via fullonsmscom,18,0
ham,come room point iron plan weekend,6,0
ham,cos want thing,3,0
ham,okies ill go yan jiu skip ard oso go cine den go mrt one blah blah blah,17,0
ham,bring home wendy,3,0
spam,dating service call boxskch,4,1
ham,whatsup dont u want sleep,5,0
ham,alright new goal,3,0
spam,free entry weekly competition text word win tc wwwtxttowincouk,9,1
ham,alright ill head minutes text meet,6,0
spam,send logo ur lover names joined heart txt love name name mobno eg love adam eve yahoo poboxwwq txtno ads p,21,1
ham,yesfrom last week im taking live call,7,0
spam,someone contacted dating service entered phone fancy find call landline poboxntfp,11,1
ham,siva hostel aha,3,0
spam,urgent mobile number awarded prize guaranteed call land line claim valid hrs,12,1
ham,send ur friends receive something ur voice speaking expression childish naughty sentiment rowdy ful attitude romantic shy attractive funny ltgt irritating ltgt lovable reply,24,0
ham,ok shell ok guess,4,0
ham,aathiwhere dear,2,0
ham,pain urination thing else,4,0
ham,esplanade mind giving lift cos got car today,8,0
ham,wnt buy bmw car urgentlyits vry urgentbut hv shortage ltgt lacsthere source arng dis amt ltgt lacsthats prob,18,0
ham,home watching tv lor,4,0
ham,usually take fifteen fucking minutes respond yes question,8,0
spam,congrats nokia video camera phone call calls cost ppm ave call mins vary mobiles close post bcm ldn wcnxx,19,1
ham,booked ticket pongal,3,0
ham,available im like right around hillsborough amp ltgt th,9,0
ham,message sent askin ltgt dollars shoul pay ltgt ltgt,9,0
ham,ask g iouri ive told story like ten times already,10,0
ham,long applebees fucking take,4,0
ham,hi hope u get txtjourney hasnt gdnow mins late think,10,0
ham,like love arrange,3,0
ham,yeshe really greatbhaji told kallis best cricketer sachin worldvery tough get,11,0
ham,supposed wake gt,3,0
ham,oic saw tot din c found group liao,8,0
ham,sorry ill call later,4,0
ham,hey hey werethe monkeespeople say monkeyaround howdy gorgeous,8,0
ham,sorry battery died come im getting gram wheres place,9,0
ham,well done blimey exercise yeah kinda remember wot hmm,9,0
ham,wont get concentration dear know mind everything,7,0
ham,lol made plans new years,5,0
ham,min later k,3,0
ham,hanks lotsly,2,0
ham,thanks hope good day today,5,0
ham,kkwhat detail want transferacc enough,5,0
ham,ok tell stay yeah tough optimistic things improve month,9,0
spam,loan purpose homeowners tenants welcome previously refused still help call free text back help,14,1
ham,si si think ill go make oreo truffles,8,0
ham,look amy ure beautiful intelligent woman like u lot know u dont like like dont worry,16,0
ham,hope thats result consistently intelligent kind start asking practicum links keep ears open best ttyl,15,0
ham,call cost guess isnt bad miss ya need ya want ya love ya,13,0
ham,going thru different feelingwavering decisions coping individualtime heal everything believe,10,0
ham,u go phone gonna die stay,6,0
ham,great never better day gives even reasons thank god,9,0
spam,upgrdcentre orange customer may claim free camera phone upgrade loyalty call offer ends th july tcs apply optout available,19,1
ham,sorry ill call later ok bye,6,0
ham,ok way railway,3,0
ham,great princess love giving receiving oral doggy style fave position enjoy making love ltgt times per night,17,0
ham,dont put stuff roads keep getting slippery,7,0
ham,going ride bike,3,0
ham,yup need ill jus wait e rain stop,8,0
ham,many company tell language,4,0
spam,okmail dear dave final notice collect tenerife holiday cash award call landline tcs sae box cwwx ppm,17,1
ham,long since screamed princess,4,0
ham,nothing meant money enters account bank remove flat rate someone transfered ltgt account ltgt dollars got removed banks differ charges also differbe sure trust ja person sending account details cos,30,0
spam,want get laid tonight want real dogging locations sent direct ur mob join uks largest dogging network txting moan nyt eca pmsgp,22,1
ham,nice line said broken heart plz dont cum times infront wise trust u good,14,0
ham,ok im gonna head usf like fifteen minutes,8,0
ham,love aathilove u lot,4,0
ham,tension ahwhat machiany problem,4,0
ham,k pick another th youre done,6,0
ham,whenre guys getting back g said thinking staying mcr,9,0
ham,almost see u sec,4,0
ham,yo carlos friends already asking working weekend,7,0
ham,watching tv lor,3,0
ham,thank baby cant wait taste real thing,7,0
ham,change fb jaykwon thuglyfe falconerf,5,0
ham,win really side long time,5,0
spam,free message activate free text messages replying message word free terms conditions visit wwwcom,14,1
ham,dear reached railway happen,4,0
ham,depends quality want type sent boye faded glory want ralphs maybe,11,0
ham,think ive fixed send test message,6,0
ham,sorry man accounts dry would want could trade back half could buy shit credit card,15,0
spam,congrats year special cinema pass call c suprman v matrix starwars etc free bxipwe pm dont miss,17,1
ham,sorryin meeting ill call later,5,0
ham,class ltgt reunion,3,0
ham,free nowcan call,3,0
ham,got meh,2,0
ham,nope think go monday sorry replied late,7,0
ham,told accenture confirm true,4,0
ham,kate jackson rec center ish right,6,0
ham,dear reache room,3,0
ham,fighting world easy u either win lose bt fightng close u dificult u lose u lose u win u still lose,21,0
ham,come,1,0
ham,check nuerologist,2,0
ham,lolnice went fish water,4,0
spam,congratulations weeks competition draw u prize claim call b tcsstop sms ppm,12,1
ham,waiting e car dats bored wat cos wait outside got nothing home stuff watch tv wat,16,0
ham,maybe westshore hyde park village place near house,8,0
ham,know hows anthony bringing money ive school fees pay rent stuff like thats need help friend need,17,0
ham,whats significance,2,0
ham,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply,12,0
ham,latest gs still scrounge ammo want give new ak try,10,0
ham,prabhaim sorydarealyfrm heart im sory,5,0
ham,lol ok forgiven,3,0
ham,nojst change tat,3,0
spam,guaranteed latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnwh pmtmsgrcvd,15,1
ham,sno competition,2,0
spam,boltblue tones p reply poly mono eg poly cha cha slide yeah slow jamz toxic come stop tones txt,19,1
spam,credits topped httpwwwbubbletextcom renewal pin tgxxrz,6,1
ham,way transport less problematic sat night way u want ask n join bday feel free need know definite nos booking fri,21,0
ham,usually person unconscious thats children adults may behave abnormally ill call,11,0
ham,thats ebay might less elsewhere,5,0
ham,shall come get pickle,4,0
ham,gonna go get tacos,4,0
ham,thats rude campus,3,0
spam,urgent mobile awarded bonus caller prize nd attempt contact call boxqu,11,1
ham,hi wont b ard christmas enjoy n merry xmas,9,0
spam,todays offer claim ur worth discount vouchers text yes savamob member offers mobile cs sub unsub reply x,18,1
ham,yes pretty lady like single,5,0
spam,recieve tone within next hrs terms conditions please see channel u teletext pg,13,1
ham,jay says youre doublefaggot,4,0
spam,private account statement shows unredeemed sim points call identifier code expires,11,1
